Week number,Start Date,Location (county),Latitude,Longitude,AvgTemp,AvgPressure,AvgWindSpeed,Total number of birds testing positive
Week 50 (2020),12/7/2020,Worcestershire,52.1936,2.2216,10.12843166,1015.098261,19.80559404,3.5
Week 50 (2020),12/7/2020,Norfolk,52.6309,1.2974,5.507142857499998,1008.8499995000002,11.04285714,3.5
Week 50 (2020),12/7/2020,Norfolk,52.6309,1.2974,5.507142857499998,1008.8499995000002,11.04285714,3.5
Week 50 (2020),12/7/2020,Essex,51.776,0.179,5.507142857499998,1008.8499995000002,11.81428571,1.0
Week 50 (2020),12/7/2020,Monmouthshire,51.812,2.7169,10.12843166,1015.098261,19.80559404,2.0
Week 50 (2020),12/7/2020,Hampshire,51.0577,1.3081,5.507142857499998,1008.8499995000002,15.67142857,3.0
Week 50 (2020),12/7/2020,Leicestershire,52.6369,1.1398,5.507142857499998,1008.8499995000002,11.04285714,1.0
Week 50 (2020),12/7/2020,Bedfordshire,52.13,0.47,5.507142857499998,1008.8499995000002,11.88571429,1.0
Week 51 (2020),12/14/2020,Dorset,50.7488,2.3445,9.4,1011.371429,20.27142857,3.5
Week 51 (2020),12/14/2020,Dorset,50.7488,2.3445,9.4,1011.371429,20.27142857,1.0
Week 51 (2020),12/14/2020,Dorset,50.7488,2.3445,9.4,1011.371429,20.27142857,1.0
Week 51 (2020),12/14/2020,Gloucestershire,51.8642,2.2382,10.12843166,1015.098261,19.80559404,1.0
Week 51 (2020),12/14/2020,Greater Manchester,53.4808,2.2426,10.12843166,1015.098261,19.80559404,1.0
Week 51 (2020),12/14/2020,Cambridgeshire,52.2053,0.1218,9.185714286,1008.8499995000002,19.98571429,2.0
Week 51 (2020),12/14/2020,Cambridgeshire,52.2053,0.1218,9.185714286,1008.8499995000002,19.98571429,1.0
Week 51 (2020),12/14/2020,Cambridgeshire,52.2053,0.1218,9.185714286,1008.8499995000002,19.98571429,1.0
Week 51 (2020),12/14/2020,Cambridgeshire,52.2053,0.1218,9.185714286,1008.8499995000002,19.98571429,1.0
Week 51 (2020),12/14/2020,Norfolk,52.6309,1.2974,9.071428571,1008.8499995000002,16.9,1.0
Week 51 (2020),12/14/2020,Devon,50.7156,3.5309,8.828571429,1013.628571,18.11428571,1.0
Week 51 (2020),12/14/2020,Isle of Wight,50.6938,1.3047,9.614285714,1011.0,25.342556534999996,1.0
Week 51 (2020),12/14/2020,Lincolnshire,53.2344,0.538,8.142857143,1008.8499995000002,25.342556534999996,1.0
Week 51 (2020),12/14/2020,County Durham,54.7787,1.5708,10.12843166,1015.098261,19.80559404,3.0
Week 51 (2020),12/14/2020,County Durham,54.7787,1.5708,10.12843166,1015.098261,19.80559404,2.0
Week 51 (2020),12/14/2020,Norfolk,52.6309,1.2974,9.071428571,1008.8499995000002,16.9,1.0
Week 51 (2020),12/14/2020,Highlands,57.12,4.71,5.507142857499998,1021.4785714999998,14.07857143,1.0
Week 51 (2020),12/14/2020,Tyne & Wear,54.9783,1.6174,10.12843166,1015.098261,19.80559404,1.0
Week 51 (2020),12/14/2020,Northumberland,52.4,0.7,9.171428571,1008.8499995000002,18.8,1.0
Week 51 (2020),12/14/2020,Gloucestershire,51.8642,2.2382,10.12843166,1015.098261,19.80559404,1.0
Week 51 (2020),12/14/2020,Worcestershire,52.1936,2.2216,10.12843166,1015.098261,19.80559404,1.0
Week 52 (2020),12/21/2020,Norfolk,52.6309,1.2974,6.571428571,1008.8499995000002,17.6,2.0
Week 52 (2020),12/21/2020,Cambridgeshire,52.2053,0.1218,6.471428571,1008.8499995000002,18.95714286,1.0
Week 52 (2020),12/21/2020,Cambridgeshire,52.2053,0.1218,6.471428571,1008.8499995000002,18.95714286,1.0
Week 52 (2020),12/21/2020,Cambridgeshire,52.2053,0.1218,6.471428571,1008.8499995000002,18.95714286,1.0
Week 52 (2020),12/21/2020,Cambridgeshire,52.2053,0.1218,6.471428571,1008.8499995000002,18.95714286,1.0
Week 52 (2020),12/21/2020,Norfolk ,52.6309,1.2974,6.571428571,1008.8499995000002,17.6,1.0
Week 52 (2020),12/21/2020,Cambridgeshire,52.2053,0.1218,6.471428571,1008.8499995000002,18.95714286,2.0
Week 52 (2020),12/21/2020,Tyne & Wear,54.9783,1.6174,10.12843166,1015.098261,19.80559404,1.0
Week 52 (2020),12/21/2020,County Durham,54.7787,1.5708,10.12843166,1015.098261,19.80559404,1.0
Week 52 (2020),12/21/2020,Fife,56.2081,3.149,10.12843166,1015.098261,19.80559404,3.0
Week 52 (2020),12/21/2020,Warwickshire,52.2671,1.4689,6.157142857,1008.8499995000002,20.91428571,1.0
Week 52 (2020),12/21/2020,Lancashire,53.76,2.7,7.614285714,1008.8499995000002,25.342556534999996,1.0
Week 52 (2020),12/21/2020,Gloucestershire,51.8642,2.2382,10.12843166,1015.098261,19.80559404,1.0
Week 52 (2020),12/21/2020,Gloucestershire,51.8642,2.2382,10.12843166,1015.098261,19.80559404,1.0
Week 52 (2020),12/21/2020,Gloucestershire,51.8642,2.2382,10.12843166,1015.098261,19.80559404,1.0
Week 52 (2020),12/21/2020,Cumbria,54.5772,2.7975,7.728571429,1008.8499995000002,25.342556534999996,2.0
Week 52 (2020),12/21/2020,Cambridgeshire,52.2053,0.1218,6.471428571,1008.8499995000002,18.95714286,1.0
Week 52 (2020),12/21/2020,Dorset,50.7488,2.3445,8.728571429,1010.5,25.342556534999996,3.0
Week 52 (2020),12/21/2020,Lancashire,53.76,2.7,7.614285714,1008.8499995000002,25.342556534999996,1.0
Week 52 (2020),12/21/2020,Clackmannanshire,56.15,3.75,10.12843166,1015.098261,19.80559404,1.0
Week 52 (2020),12/21/2020,Clackmannanshire,56.15,3.75,10.12843166,1015.098261,19.80559404,2.0
Week 52 (2020),12/21/2020,Lancashire,53.76,2.7,7.614285714,1008.8499995000002,25.342556534999996,2.0
Week 52 (2020),12/21/2020,Shropshire,52.7073,2.7541,10.12843166,1015.098261,19.80559404,1.0
Week 52 (2020),12/21/2020,Angus,56.7,2.9,6.714285714,1008.8499995000002,25.342556534999996,1.0
Week 52 (2020),12/21/2020,Bedfordshire,52.13,0.47,6.471428571,1008.8499995000002,18.95714286,1.0
Week 53 (2020),12/28/2020,Warwarkshire,52.2671,1.4689,5.507142857499998,1008.8499995000002,11.05714286,1.0
Week 53 (2020),12/28/2020,Clackmannanshire,56.15,3.75,10.12843166,1015.098261,19.80559404,1.0
Week 53 (2020),12/28/2020,Cornwall,50.5036,4.6525,5.507142857499998,1008.8499995000002,10.577323215000003,1.0
Week 53 (2020),12/28/2020,Tyne & Wear,54.9783,1.6174,10.12843166,1015.098261,19.80559404,1.0
Week 1 (2021),1/4/2021,Lancashire,53.76,2.7,5.507142857499998,1019.857143,25.342556534999996,1.0
Week 1 (2021),1/4/2021,County Durham,54.7787,1.5708,10.12843166,1015.098261,19.80559404,1.0
Week 1 (2021),1/4/2021,Western Isles,57.75,6.0785,5.507142857499998,1021.4785714999998,21.24285714,1.0
Week 1 (2021),1/4/2021,Warwickshire,52.2671,1.4689,5.507142857499998,1021.4785714999998,13.94285714,1.0
Week 2 (2021),1/11/2021,Devon,50.7156,3.5309,5.507142857499998,1020.242857,13.9,3.0
Week 2 (2021),1/11/2021,Yorkshire,53.9915,1.537,10.12843166,1015.098261,19.80559404,1.0
Week 3 (2021),1/18/2021,Moray,57.6497,3.3185,10.12843166,1015.098261,19.80559404,1.0
Week 3 (2021),1/18/2021,Aberdeen,57.1497,2.0943,10.12843166,1015.098261,19.80559404,2.0
Week 3 (2021),1/18/2021,Lincolnshire,53.2344,0.538,5.507142857499998,1008.8499995000002,25.342556534999996,1.0
Week 4 (2021),1/25/2021,Devon,50.7156,3.5309,5.507142857499998,1008.8499995000002,17.44285714,3.0
Week 4 (2021),1/25/2021,Cornwall,50.5036,4.6525,5.507142857499998,1008.8499995000002,18.67142857,2.0
Week 4 (2021),1/25/2021,East Lothian,55.95,2.77,10.12843166,1015.098261,19.80559404,2.0
Week 5 (2021),2/1/2021,Cambridgeshire,52.2053,0.1218,5.507142857499998,1008.8499995000002,15.57142857,1.0
